"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Temple",67.1246,235,66.193,221,98.6185,254,102.156,193,98.428,93,97.8114,75,4.34507,117
"2022","Tennessee",68.6808,139,67.1422,172,105.997,86,111.409,36,90.464,6,86.1341,3,25.2748,7
"2022","Tennessee Martin",70.2353,75,68.7526,82,95.1265,305,96.4148,300,106.572,275,108.847,281,-12.4325,306
"2022","Tennessee St.",69.0818,113,67.4052,148,99.2009,239,98.3014,265,101.826,182,106.687,253,-8.3859,268
"2022","Tennessee Tech",69.8746,84,69.2167,64,99.3129,234,100.091,237,105.352,261,107.88,274,-7.78903,257
"2022","Texas",64.188,343,63.0722,341,105.723,93,111.815,33,91.9048,8,91.3162,13,20.4987,15
"2022","Texas A&M",68.553,149,66.6172,199,103.687,140,108.949,71,96.6752,55,94.8424,39,14.1065,43
"2022","Texas A&M Corpus Chris",71.9284,31,69.2383,63,101.972,177,96.632,295,98.6414,99,103.261,181,-6.62858,248
"2022","Texas Southern",69.5322,93,67.9249,117,99.3216,233,98.116,269,94.1081,26,99.1103,101,-0.994228,184
"2022","Texas St.",64.6294,335,63.6909,336,105.058,113,105.998,117,100.535,144,102.695,169,3.3023,134
"2022","Texas Tech",67.472,209,66.4225,211,104.973,115,109.703,64,88.3557,2,84.9418,1,24.7609,9
"2022","The Citadel",70.3998,70,70.3651,33,102.583,165,101.288,211,109.496,323,107.37,265,-6.08197,240
"2022","Toledo",70.232,76,68.7131,84,113.731,11,111.236,39,99.0483,105,101.896,151,9.33976,89
"2022","Towson",65.8451,290,64.4289,316,110.617,27,110.027,57,96.9315,61,99.5107,111,10.5166,78
"2022","Troy",67.3647,218,66.7114,197,98.1137,258,98.9708,255,97.341,68,99.9067,117,-0.935851,183
"2022","Tulane",69.2956,100,67.8073,122,104.314,128,108.777,73,102.037,189,101.21,139,7.56648,98
"2022","Tulsa",67.3234,220,66.362,215,100.113,213,103.75,164,103.86,230,104.016,202,-0.266392,172
"2022","UAB",70.1548,78,68.7693,80,111.84,19,112.424,27,95.4026,35,98.4607,88,13.9637,47
