Season,TeamName,eFGPct,RankeFGPct,TOPct,RankTOPct,ORPct,RankORPct,FTRate,RankFTRate
2022,Davidson,49.40408627,149,16.92053392,269,22.17111316,8,28.03632236,113
2022,Dayton,47.28230727,56,17.44722626,231,23.30009066,25,24.07099279,36
2022,DePaul,48.7709205,120,16.7567475,276,28.52203976,203,26.0460251,65
2022,Delaware,49.27197088,141,18.46754861,162,31.16769096,298,29.27717109,157
2022,Delaware State,51.13333333,230,19.32094232,116,34.7266881,354,34.2,278
2022,Denver,52.40963855,281,16.5265224,288,28.08219178,179,32.24325875,236
2022,Detroit Mercy,53.96301189,333,19.14307397,131,29.47247706,235,30.97754293,201
2022,Dixie State,50.84134615,219,17.8785097,209,28.85771543,215,30.64903846,190
2022,Drake,49.30835735,143,19.66875503,98,25.9469697,81,33.31412104,257
2022,Drexel,50.4244997,198,16.23681737,298,26.06438214,88,26.07640995,68
2022,Duke,46.9640355,47,16.09917089,303,28.75569044,210,18.91639421,2
2022,Duquesne,53.98205272,334,18.97454126,140,31.55778894,313,21.92933259,14
2022,East Carolina,50.48963134,200,18.4913907,158,28.47682119,200,30.99078341,202
2022,East Tennessee State,53.12677658,308,16.5521058,286,31.09815355,295,26.0943718,69
2022,Eastern Illinois,53.36309524,316,18.40155945,167,32.71028037,334,24.22619048,38
2022,Eastern Kentucky,54.58515284,341,22.32671168,22,31.81818182,318,28.07236432,114
2022,Eastern Michigan,51.58943966,252,16.90163548,271,28.36363636,194,29.31034483,158
2022,Eastern Washington,50.32017076,188,15.69267751,320,25.86666667,78,30.94983991,199
2022,Elon,50.58497537,209,16.57159564,284,28.75751503,211,43.78078818,353
2022,Evansville,56.11510791,352,17.85831528,210,22.0747889,7,31.00065402,203
2022,FIU,50.17123288,184,18.46323538,163,29.83114447,247,31.39269406,213
2022,Fairfield,48.13474388,91,16.98735439,264,27.86885246,166,31.23608018,209
2022,Fairleigh Dickinson,53.83386581,332,18.18747716,188,34.18423973,351,34.12140575,273
2022,Florida,49.23685698,137,21.64923802,31,32.52108716,333,30.07348785,176
2022,Florida A&M,48.19162437,94,18.4373303,165,34.11996067,350,38.89593909,336
2022,Florida Atlantic,50.3875969,193,19.23787487,124,25.91133005,80,32.20035778,233
2022,Florida Gulf Coast,50.36880927,192,15.77441195,315,27.2404614,133,24.23603793,39
2022,Florida State,52.23289994,274,20.90234685,42,31.03122044,290,30.41266252,184
2022,Fordham,47.95417349,83,19.64499961,99,26.32034632,100,30.44189853,186
2022,Fresno State,47.86297926,80,19.39605408,111,22.45508982,12,27.15273413,94
2022,Furman,51.54666667,249,19.14837165,129,28.24287029,186,24.64,45
2022,Gardner-Webb,45.4516129,19,19.02919727,137,26.28968254,97,36.32258065,309
2022,George Mason,49.58847737,160,17.22635977,247,23.89635317,37,29.62962963,165
2022,George Washington,49.58745875,159,18.00705394,197,31.09475621,294,29.31793179,159
2022,Georgetown,53.62473348,325,17.98732711,200,29.86175115,249,27.6119403,101
2022,Georgia,54.55231388,339,15.71102457,319,30.08130081,258,24.0945674,37
2022,Georgia Southern,48.27705031,100,18.93056641,141,31.22270742,299,35.5616816,298
