Season,TeamName,eFGPct,RankeFGPct,TOPct,RankTOPct,ORPct,RankORPct,FTRate,RankFTRate
2022,DePaul,48.7519915,239,17.35031076,108,31.6925734,65,33.40414233,86
2022,Delaware,53.54785479,36,18.37876232,179,26.84108527,219,34.59845985,63
2022,Delaware State,44.98154982,345,25.64826846,357,26.9751693,214,32.39852399,111
2022,Denver,52.74592637,60,18.56204716,195,23.68148914,306,31.98551599,122
2022,Detroit Mercy,52.56329114,67,18.10387852,154,27.9956427,176,23.03797468,343
2022,Dixie State,46.51457541,312,21.01864455,321,26.95652174,215,35.17110266,56
2022,Drake,50.57955743,145,15.78128344,36,30.47445255,100,28.39831401,237
2022,Drexel,52.00486027,86,16.39344262,52,25.61105207,262,25.39489672,309
2022,Duke,55.62015504,15,14.94003059,17,31.81419807,63,28.58527132,232
2022,Duquesne,45.35830619,341,16.8662589,68,29.20962199,144,21.87839305,349
2022,East Carolina,47.15942029,291,18.68350904,205,27.62430939,185,33.50724638,82
2022,East Tennessee State,51.76174497,100,16.95458862,78,30.62200957,94,21.70022371,354
2022,Eastern Illinois,44.24931129,351,24.27550357,356,20.77244259,346,31.19834711,144
2022,Eastern Kentucky,48.37106571,253,15.64388642,33,28.73462214,155,21.70071784,353
2022,Eastern Michigan,48.15550511,262,19.20431061,232,23.33028362,312,29.79568672,188
2022,Eastern Washington,52.74509804,61,18.27788738,170,25.36023055,270,33.16526611,92
2022,Elon,48.98203593,228,19.90582059,276,25.43352601,268,25.86826347,300
2022,Evansville,46.99149771,297,17.17549734,95,14.16837782,358,24.5912361,325
2022,FIU,49.94298746,176,20.09375487,287,27.04225352,211,24.62941847,324
2022,Fairfield,49.25701706,214,16.89245296,72,27.45454545,189,26.58227848,284
2022,Fairleigh Dickinson,46.36655949,318,19.37832388,244,27.80638517,181,27.78135048,258
2022,Florida,49.91698949,180,18.47650486,188,31.68761221,66,34.69839513,60
2022,Florida A&M,45.85180494,331,18.80819614,211,25.87991718,253,29.70234326,196
2022,Florida Atlantic,53.48229832,40,19.77091422,269,31.20638086,76,29.54149739,206
2022,Florida Gulf Coast,52.86975717,55,18.93860078,219,30.2238806,107,29.58057395,201
2022,Florida State,49.0228013,227,18.05626837,149,31.6262354,67,30.29315961,175
2022,Fordham,45.7486631,334,18.88252245,216,27.15231788,206,29.73262032,192
2022,Fresno State,50.06138735,172,17.95930934,138,27.37487232,196,30.6936771,159
2022,Furman,55.64928425,13,15.71611636,35,27.42081448,191,23.26175869,339
2022,Gardner-Webb,49.93642721,177,20.02247955,284,26.94300518,216,28.54418309,234
2022,George Mason,52.97265161,51,17.96252899,139,24.94969819,284,29.13198573,214
2022,George Washington,48.89768231,231,17.91252873,133,23.22761194,316,26.00339175,296
2022,Georgetown,46.17983368,322,18.80493289,210,32.26863227,53,29.002079,219
2022,Georgia,50.17391304,168,20.67946824,312,25.83095916,255,39.01449275,10
2022,Georgia Southern,47.84452297,271,21.28254587,326,28.63636364,159,31.59010601,136
2022,Georgia State,45.06213211,344,16.92487768,76,32.81733746,44,30.15042511,181
2022,Georgia Tech,49.58240535,195,18.94549118,220,25.02334267,281,25,318
2022,Gonzaga,59.44229707,2,15.89277054,38,28.9978678,149,29.81778023,186
2022,Grambling,44.58285052,346,19.94552791,279,27.41792369,192,33.37195829,88
2022,Grand Canyon,49.88179669,183,19.20965619,234,34.91912464,14,31.02836879,152
2022,Green Bay,46.51011089,314,19.94986006,281,26.70157068,225,32.02870189,120
2022,Hampton,44.17475728,352,18.16287238,159,21.9978746,335,36.61581137,39
2022,Hartford,53.29021372,45,18.14679878,157,23.75478927,304,27.61529809,263
2022,Harvard,49.53068592,199,17.44921642,115,25.20515826,274,24.4765343,327
2022,Hawaii,50.43041607,150,19.71657425,267,29.05569007,146,32.4964132,109
2022,High Point,48.93357709,229,19.49237566,251,27.41463415,193,33.8817794,72
2022,Hofstra,53.41949381,41,14.66298128,12,23.26923077,314,21.70166936,352
2022,Holy Cross,45.10278114,343,18.21889696,165,27.27272727,202,28.59733978,231
2022,Houston,53.5521803,34,17.12385887,91,37.80183181,3,28.71141597,229
2022,Houston Baptist,48.81615599,235,20.71579994,315,29.29292929,140,37.81337047,24
2022,Howard,50.43449198,149,20.69289443,314,28.00441014,174,36.22994652,42
2022,IUPUI,42.40645635,356,26.07508332,358,30.0110742,113,24.94497432,322
2022,Idaho,50.21109771,167,18.48622885,189,23.30383481,313,33.83594692,75
2022,Idaho State,47.41089442,285,21.12776201,322,27.55741127,186,33.01950235,94
2022,Illinois,53.12157722,47,17.69174366,123,33.4264432,34,31.65388828,130
2022,Illinois-Chicago,51.14613181,121,17.23361048,98,24.95107632,283,22.9226361,346
2022,Illinois State,51.77975528,99,19.55610386,257,28.59848485,161,31.31256952,140
2022,Incarnate Word,48.35962145,254,20.10382736,288,22.55102041,324,27.44479495,267
2022,Indiana,51.00775194,127,17.19259132,97,27.40805604,194,33.48837209,83
2022,Indiana State,50.60586735,144,19.1622216,229,17.33046286,357,26.40306122,288
2022,Iona,50.68855932,138,17.76471693,127,31.61572052,68,37.5529661,27
2022,Iowa,53.61258865,33,12.95001034,3,32.24806202,55,30.36347518,173
2022,Iowa State,49.88808058,181,20.39898005,300,28.22429907,168,28.14773363,249
2022,Jackson State,45.32902468,342,19.8949847,275,31.40186916,72,26.49823737,287
2022,Jacksonville,48.632946,244,18.64484529,201,33.632287,29,30.48530417,165
2022,Jacksonville State,54.17721519,25,19.96539503,282,28.34224599,166,32.15189873,117
2022,James Madison,51.08073744,123,17.71597921,125,25.88996764,252,30.64208519,161
2022,Kansas,54.09876543,27,17.78344988,128,33.39253996,35,32.79012346,100
2022,Kansas State,49.3816751,209,16.88974814,70,25.18382353,275,29.56717257,203
